DATE,TIME PERIOD,HICP
12/31/1997,1997,1.6
12/31/1998,1998,1.1
12/31/1999,1999,1.1
12/31/2000,2000,2.1
12/31/2001,2001,2.3
12/31/2002,2002,2.3
12/31/2003,2003,2.1
12/31/2004,2004,2.1
12/31/2005,2005,2.2
12/31/2006,2006,2.2
12/31/2007,2007,2.1
12/31/2008,2008,3.3
12/31/2009,2009,0.3
12/31/2010,2010,1.6
12/31/2011,2011,2.7
12/31/2012,2012,2.5
12/31/2013,2013,1.4
12/31/2014,2014,0.4
12/31/2015,2015,0.2
12/31/2016,2016,0.2
12/31/2017,2017,1.5
12/31/2018,2018,1.8
12/31/2019,2019,1.2
12/31/2020,2020,0.3
12/31/2021,2021,2.6
12/31/2022,2022,8.4
12/31/2023,2023,5.4
12/31/2024,2024,2.4
12/31/2025,2025,2.1
